A199,161710063,SMA-10-IPA2-2016
A172,161710024,SMA-10-IPA1-2016
A085,161710279,SMA-10-IPS3-2016
A386,161710209,SMA-10-IPS1-2016
A395,161710171,SMA-10-IPA5-2016
A344,161710243,SMA-10-IPS2-2016
A147,161710096,SMA-10-IPA3-2016
A361,161710064,SMA-10-IPA2-2016
A315,161710097,SMA-10-IPA3-2016
A310,161710280,SMA-10-IPS3-2016
A400,161710136,SMA-10-IPA4-2016
A333,161710244,SMA-10-IPS2-2016
A060,161710210,SMA-10-IPS1-2016
A061,161710281,SMA-10-IPS3-2016
A185,161710211,SMA-10-IPS1-2016
A013,161710245,SMA-10-IPS2-2016
A136,161710065,SMA-10-IPA2-2016
A063,161710282,SMA-10-IPS3-2016
A321,161710137,SMA-10-IPA4-2016
A345,161710212,SMA-10-IPS1-2016
A016,161710025,SMA-10-IPA1-2016
A161,161710246,SMA-10-IPS2-2016
A093,161710283,SMA-10-IPS3-2016
A263,161710098,SMA-10-IPA3-2016
A227,161710099,SMA-10-IPA3-2016
A046,161710172,SMA-10-IPA5-2016
A378,161710213,SMA-10-IPS1-2016
A383,161710284,SMA-10-IPS3-2016
A237,161710100,SMA-10-IPA3-2016
A385,161710173,SMA-10-IPA5-2016
A376,161710247,SMA-10-IPS2-2016
A127,161710026,SMA-10-IPA1-2016
A299,161710248,SMA-10-IPS2-2016
A286,161710101,SMA-10-IPA3-2016
A049,161710285,SMA-10-IPS3-2016
A212,161710066,SMA-10-IPA2-2016
A224,161710174,SMA-10-IPA5-2016
A002,161710286,SMA-10-IPS3-2016
A210,161710214,SMA-10-IPS1-2016
A133,161710027,SMA-10-IPA1-2016
A114,161710138,SMA-10-IPA4-2016
A317,161710139,SMA-10-IPA4-2016
A015,161710067,SMA-10-IPA2-2016
A198,161710175,SMA-10-IPA5-2016
A053,161710215,SMA-10-IPS1-2016
A157,161710140,SMA-10-IPA4-2016
A084,161710249,SMA-10-IPS2-2016
A244,161710287,SMA-10-IPS3-2016
A005,161710028,SMA-10-IPA1-2016
A335,161710250,SMA-10-IPS2-2016
A246,161710288,SMA-10-IPS3-2016
A262,161710102,SMA-10-IPA3-2016
A171,161710141,SMA-10-IPA4-2016
A194,161710251,SMA-10-IPS2-2016
A070,161710103,SMA-10-IPA3-2016
A289,161710216,SMA-10-IPS1-2016
A258,161710104,SMA-10-IPA3-2016
A131,161710068,SMA-10-IPA2-2016
A215,161710289,SMA-10-IPS3-2016
A322,161710105,SMA-10-IPA3-2016
A287,161710069,SMA-10-IPA2-2016
A304,161710252,SMA-10-IPS2-2016
A354,161710029,SMA-10-IPA1-2016
A270,161710176,SMA-10-IPA5-2016
A089,161710142,SMA-10-IPA4-2016
A055,161710030,SMA-10-IPA1-2016
A305,161710290,SMA-10-IPS3-2016
A034,161710217,SMA-10-IPS1-2016
A201,161710253,SMA-10-IPS2-2016
A327,161710143,SMA-10-IPA4-2016
A214,161710144,SMA-10-IPA4-2016
A123,161710177,SMA-10-IPA5-2016
A249,161710106,SMA-10-IPA3-2016
A348,161710145,SMA-10-IPA4-2016
A107,161710107,SMA-10-IPA3-2016
A291,161710070,SMA-10-IPA2-2016
A130,161710178,SMA-10-IPA5-2016
A145,161710031,SMA-10-IPA1-2016
A187,161710179,SMA-10-IPA5-2016
A141,161710291,SMA-10-IPS3-2016
A128,161710032,SMA-10-IPA1-2016
A173,161710218,SMA-10-IPS1-2016
A108,161710108,SMA-10-IPA3-2016
A357,161710180,SMA-10-IPA5-2016
A253,161710181,SMA-10-IPA5-2016
A139,161710109,SMA-10-IPA3-2016
A204,161710182,SMA-10-IPA5-2016
A113,161710254,SMA-10-IPS2-2016
A160,161710219,SMA-10-IPS1-2016
A056,161710071,SMA-10-IPA2-2016
A206,161710255,SMA-10-IPS2-2016
